key,title,author,translation,chars,chapters,status,flags,note,opening
leo-tome,The Tome of Leo (Letter 28 to Flavian),St. Leo the Great,Charles Lett Feltoe / NPNF · Public domain (via New Advent),20774,3,COMPLETE_LIKELY,,The Christological letter received at Chalcedon. Public-domain NPNF translation.,"Having read your letter, beloved, at the late arrival of which we are surprised , and having perused the detailed account of the bishops' acts , we ha"
justin-second-apology,Second Apology,St. Justin Martyr,Marcus Dods / ANF · New Advent (public domain),25512,15,COMPLETE_LIKELY,,Complete Second Apology. Source: Ante-Nicene Fathers via New Advent.,"Romans, the things which have recently happened in your city under Urbicus, and the things which are likewise being everywhere unreasonably done by th"
maximus-charity,Four Centuries on Charity (Capita de Caritate),St. Maximus the Confessor,English after the Philokalia tradition and Sherwood (cited),29732,5,COMPLETE_LIKELY,,"Four centuries on love. Source tradition: Philokalia; cf. Polycarp Sherwood, The Ascetic Life; The Four Centuries on Charity (Newman Press). Hosted with attribu","In four centuries I have arranged the chapters on love, equal in number to the four Gospels. They are not my own invention but a gathering from the ho"
ambrose-mysteries,On the Mysteries,St. Ambrose of Milan,Public domain,40021,24,COMPLETE_LIKELY,,Catechesis on the sacraments for the newly baptized.,"The writer explains in the commencement of this treatise that his object was to set forth, for the benefit of those about to be baptized, the rites an"
tertullian-baptism,On Baptism,Tertullian,ANF / New Advent (public domain),43352,20,COMPLETE_LIKELY,,Complete On Baptism. Source: Ante-Nicene Fathers via New Advent.,"Happy is our sacrament of water, in that, by washing away the sins of our early blindness, we are set free and admitted into eternal life! A treatise "
cyprian-unity,On the Unity of the Catholic Church,St. Cyprian of Carthage,Robert Ernest Wallis / ANF · Public domain (via New Advent),43951,7,COMPLETE_LIKELY,,Complete treatise. Public-domain ANF translation.,"Argument.— On the Occasion of the Schism of Novatian, to Keep Back from Him the Carthaginians, Who Already Were Not Averse to Him, on Account of Novat"
anselm-proslogion,Proslogion,St. Anselm of Canterbury,"Sidney Norton Deane (1903, public domain)",46108,25,COMPLETE_LIKELY,,Faith seeking understanding; the ontological argument and the contemplation of God.,"UP now, slight man! flee, for a little while, thy occupations; hide thyself, for a time, from thy disturbing thoughts. Cast aside, now, thy burdensome"
augustine-doctrine,On Christian Doctrine — Book I,St. Augustine of Hippo,J. F. Shaw / NPNF · Public domain (via New Advent),54566,10,COMPLETE_LIKELY,,Book I. Public-domain NPNF translation.,Containing a general view of the subjects treated in Holy Scripture
jerome-helvidius,Against Helvidius,St. Jerome,NPNF · Public domain,58483,10,COMPLETE_LIKELY,,Ascetic and Marian controversy treatises.,This tract appeared about a.d. 383. The question which gave occasion to it was whether the Mother of our Lord remained a Virgin after His birth. Helvi
bernard-loving-god,On Loving God (De diligendo Deo),St. Bernard of Clairvaux,Public-domain English,73212,2,COMPLETE_LIKELY,,Why God is to be loved and the four degrees of love.,"2. How much God deserves love from man in recognition of His gifts, both material and spiritual; and how these gifts should be cherished without negle"
